ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
4339,12.0,5597,3322,14.0
4340,22.5,5553,3323,18.242640614509583
4341,27.0,3883,3324,19.656854152679443
4342,142.0,794,3328,48.627416372299194
4343,609.5,5826,3335,153.63960897922516
4344,178.5,5651,3325,55.21320307254791
4345,82.5,2857,3323,33.899494647979736
4346,1507.0,4474,3343,197.33809280395508
4347,4.0,3823,3319,8.0
4348,6.0,3613,3319,10.0
4349,6.0,3235,3319,10.0
4350,46.0,2411,3321,28.485281229019165
4351,13619.0,2288,3398,1577.6509230136871
4352,2.0,2302,3455,5.656854152679443
4353,2.0,2364,3439,5.656854152679443
4354,128.5,2294,3444,49.35533833503723
4355,10.0,2361,3437,12.485281229019165
4356,2.0,2360,3435,5.656854152679443
4357,2.0,2345,3435,5.656854152679443
4358,13.5,2292,3431,15.899494647979736
4359,19.0,2356,3431,21.313708305358887
4360,2.0,2296,3430,5.656854152679443
4361,8.5,2346,3421,11.899494647979736
4362,2.0,2344,3420,5.656854152679443
4363,2.0,2316,3396,5.656854152679443
4364,2.0,2247,3394,5.656854152679443
4365,2.0,2316,3392,5.656854152679443
4366,2.0,2193,3386,5.656854152679443
4367,12.0,2190,3384,14.485281229019165
4368,311.5,2229,3392,117.49747371673584
4369,17.5,2203,3382,18.727921724319458
4370,4.0,2207,3380,7.656854152679443
4371,8.5,2200,3368,11.071067690849304
4372,6.0,799,3319,10.0
4373,586.0,5868,3335,141.74011433124542
4374,22.0,888,3319,17.656854152679443
4375,90.5,190,3321,36.72792172431946
4376,931.5,4040,3342,224.40916061401367
4377,544.0,4,3356,184.9116871356964
4378,56.5,5199,3319,30.727921843528748
4379,273.5,4518,3323,93.84061908721924
4380,42.5,3578,3317,25.899494647979736
4381,22.5,3568,3317,18.242640614509583
4382,52.5,2447,3320,28.727921724319458
4383,36.0,2437,3317,23.656854152679443
4384,231.5,5800,3322,66.52691125869751
4385,188.5,4055,3327,64.04162991046906
4386,53.5,204,3316,31.899494767189026
4387,7116.0,1422,3395,1065.3178822994232
4388,2.0,1396,3442,5.656854152679443
4389,2.0,1455,3433,5.656854152679443
4390,15.0,1441,3432,14.485281229019165
4391,2.0,1474,3424,5.656854152679443
4392,37.0,1436,3351,26.14213526248932
4393,23.0,1402,3344,19.313708305358887
4394,2.0,1399,3342,5.656854152679443
4395,60.0,1104,3316,30.485281229019165
4396,81.5,5076,3318,36.72792184352875
4397,66.5,4298,3316,33.899494767189026
4398,75.0,2421,3316,33.31370830535889
4399,356.0,3681,3322,75.59797883033752
4400,24.5,2373,3313,23.071067690849304
4401,49.0,1196,3314,26.485281229019165
4402,15.0,3983,3312,14.828427076339722
4403,46.0,3618,3313,28.485281229019165
4404,23.0,217,3312,17.656854152679443
4405,434.0,4407,3324,111.25483334064484
4406,5.5,4409,3328,9.071067690849304
4407,32.0,134,3311,22.82842707633972
4408,95.5,5694,3312,41.55634891986847
4409,57.0,3206,3311,29.656854152679443
4410,892.5,2611,3323,159.2964630126953
4411,57.0,2559,3315,44.14213538169861
4412,25.5,2266,3310,21.071067690849304
4413,32.5,3827,3309,22.242640614509583
4414,161.5,5818,3312,66.04163014888763
4415,1353.5,2112,3330,178.1248903274536
4416,452.0,505,3320,107.25483298301697
4417,15.5,5596,3306,15.41421353816986
4418,50.5,5083,3308,27.899494767189026
4419,156.0,3998,3311,51.79898941516876
4420,138.5,3868,3311,45.55634891986847
4421,43.5,741,3307,25.071067690849304
4422,284.5,164,3312,66.87005710601807
4423,63.0,4571,3306,34.485281229019165
4424,3055.0,4359,3344,330.3919154405594
4425,22.5,4363,3340,19.899494767189026
4426,10.0,4352,3332,12.485281109809875
4427,22.5,4350,3314,18.72792160511017
4428,52.0,3884,3306,39.31370830535889
4429,263.0,3847,3314,97.5979790687561
4430,33.0,4467,3304,21.656854152679443
4431,334.5,4093,3311,70.52691125869751
4432,4.0,3970,3302,8.0
4433,27.0,4018,3302,19.656854152679443
4434,4.0,3040,3301,8.0
4435,8.0,2227,3301,12.0
4436,86.0,5870,3304,39.31370830535889
4437,22.5,3920,3301,18.242640614509583
4438,12.0,2454,3300,14.0
4439,128.0,5649,3304,42.97056245803833
4440,1633.0,3930,3318,329.4213535785675
4441,90.5,2199,3302,37.071067690849304
4442,826.0,767,3317,129.3969680070877
